model_id,category,specialty,status,authoritative_listing_url,document_url,verified
SCHN-D-001,Dental,Dento-Maxillofacial Radiology,Final,https://www.schn.health.nsw.gov.au/nsw-state-scope-clinical-practice-unit/model-scopes-dental,,2026-09-10
SCHN-D-002,Dental,Endodontics,Final,https://www.schn.health.nsw.gov.au/nsw-state-scope-clinical-practice-unit/model-scopes-dental,,2026-09-10
SCHN-D-003,Dental,Forensic Odontology,Final,https://www.schn.health.nsw.gov.au/nsw-state-scope-clinical-practice-unit/model-scopes-dental,,2026-09-10
SCHN-D-004,Dental,Oral and Maxillofacial Pathology,Final,https://www.schn.health.nsw.gov.au/nsw-state-scope-clinical-practice-unit/model-scopes-dental,,2026-09-10
SCHN-D-005,Dental,Oral Medicine,Final,https://www.schn.health.nsw.gov.au/nsw-state-scope-clinical-practice-unit/model-scopes-dental,,2026-09-10
SCHN-D-006,Dental,Oral Surgery,Final,https://www.schn.health.nsw.gov.au/nsw-state-scope-clinical-practice-unit/model-scopes-dental,,2026-09-10
SCHN-D-007,Dental,Orthodontics,Final,https://www.schn.health.nsw.gov.au/nsw-state-scope-clinical-practice-unit/model-scopes-dental,,2026-09-10
SCHN-D-008,Dental,Paediatric Dentistry,Final,https://www.schn.health.nsw.gov.au/nsw-state-scope-clinical-practice-unit/model-scopes-dental,,2026-09-10
SCHN-D-009,Dental,Periodontics,Final,https://www.schn.health.nsw.gov.au/nsw-state-scope-clinical-practice-unit/model-scopes-dental,,2026-09-10
SCHN-D-010,Dental,Prosthodontics,Final,https://www.schn.health.nsw.gov.au/nsw-state-scope-clinical-practice-unit/model-scopes-dental,,2026-09-10
SCHN-D-011,Dental,Public Health Dentistry,Final,https://www.schn.health.nsw.gov.au/nsw-state-scope-clinical-practice-unit/model-scopes-dental,,2026-09-10
SCHN-D-012,Dental,Special Needs Dentistry,Final,https://www.schn.health.nsw.gov.au/nsw-state-scope-clinical-practice-unit/model-scopes-dental,,2026-09-10
