body_id,name,countries,jurisdiction,role,url,groups,topics
act-hrc,ACT Human Rights Commission,AU,ACT,rights_oversight,https://hrc.act.gov.au/,au-health-complaints,complaints;unregistered-practitioners;patient-rights
act-legislation,ACT official legislation publisher,AU,ACT,legislation_publisher,https://www.legislation.act.gov.au/,legislation,law;regulations;valid-time
anz-acem,Australasian College for Emergency Medicine,AU;NZ,ANZ,professional_standard_setter,https://acem.org.au/,au-specialist-colleges,professional-standards;education;credentials
anz-acsep,Australasian College of Sport and Exercise Physicians,AU;NZ,ANZ,professional_standard_setter,https://www.acsep.org.au/,au-specialist-colleges,professional-standards;education;credentials
anz-anzca,Australian and New Zealand College of Anaesthetists,AU;NZ,ANZ,professional_standard_setter,https://www.anzca.edu.au/,au-specialist-colleges,professional-standards;education;credentials
anz-ccea,Council on Chiropractic Education Australasia,AU;NZ,ANZ,education_accreditor,https://www.ccea.com.au/,au-external-accreditors,education;credentials;accreditation
anz-cicm,College of Intensive Care Medicine of Australia and New Zealand,AU;NZ,ANZ,professional_standard_setter,https://www.cicm.org.au/,au-specialist-colleges,professional-standards;education;credentials
anz-fsanz,Food Standards Australia New Zealand,AU;NZ,ANZ,standard_setter,https://www.foodstandards.gov.au/,national-standards,standards;governance;safety
anz-global-mark,Global-Mark Pty Limited,AU;NZ,ANZ,service_accreditor,https://www.global-mark.com.au/,au-ahssqa-agencies;nz-designated-auditors,service-quality;accreditation
anz-jasanz,Joint Accreditation System of Australia and New Zealand,AU;NZ,ANZ,accreditation_body,https://www.jasanz.org/,national-standards,standards;governance;safety
anz-ocanz,Optometry Council of Australia and New Zealand,AU;NZ,ANZ,education_accreditor,https://www.ocanz.org/,au-external-accreditors,education;credentials;accreditation
anz-racds,Royal Australasian College of Dental Surgeons,AU;NZ,ANZ,professional_standard_setter,https://racds.org/,au-specialist-colleges,professional-standards;education;credentials
anz-racma,Royal Australasian College of Medical Administrators,AU;NZ,ANZ,professional_standard_setter,https://racma.edu.au/,au-specialist-colleges,professional-standards;education;credentials
anz-racp,Royal Australasian College of Physicians,AU;NZ,ANZ,professional_standard_setter,https://www.racp.edu.au/,au-specialist-colleges,professional-standards;education;credentials
anz-racs,Royal Australasian College of Surgeons,AU;NZ,ANZ,professional_standard_setter,https://www.surgeons.org/,au-specialist-colleges,professional-standards;education;credentials
anz-ranzco,Royal Australian and New Zealand College of Ophthalmologists,AU;NZ,ANZ,professional_standard_setter,https://ranzco.edu/,au-specialist-colleges,professional-standards;education;credentials
anz-ranzcog,Royal Australian and New Zealand College of Obstetricians and Gynaecologists,AU;NZ,ANZ,professional_standard_setter,https://ranzcog.edu.au/,au-specialist-colleges,professional-standards;education;credentials
anz-ranzcp,Royal Australian and New Zealand College of Psychiatrists,AU;NZ,ANZ,professional_standard_setter,https://www.ranzcp.org/,au-specialist-colleges,professional-standards;education;credentials
anz-ranzcr,Royal Australian and New Zealand College of Radiologists,AU;NZ,ANZ,professional_standard_setter,https://www.ranzcr.com/,au-specialist-colleges,professional-standards;education;credentials
anz-rcpa,Royal College of Pathologists of Australasia,AU;NZ,ANZ,professional_standard_setter,https://www.rcpa.edu.au/,au-specialist-colleges,professional-standards;education;credentials
anz-resuscitation,Australian and New Zealand Committee on Resuscitation,AU;NZ,ANZ,standard_setter,https://www.anzcor.org/,national-standards,standards;governance;safety
au-aasw,Australian Association of Social Workers,AU,Cth,professional_standard_setter,https://www.aasw.asn.au/,additional-professional-bodies,clinical-guidance;professional-standards
au-achs,Australian Council on Healthcare Standards,AU,Cth,service_accreditor,https://www.achs.org.au/,au-ahssqa-agencies,service-quality;accreditation
au-acipc,Australasian College for Infection Prevention and Control,AU,Cth,professional_standard_setter,https://www.acipc.org.au/,additional-professional-bodies,clinical-guidance;professional-standards
