source_id,publisher,title,publication_or_report_update,data_period,url,locator,access_state,limitations
S01,ASHM and Doherty Institute,Hepatitis B Mapping National Report 2024,2026-03,2024,https://ashm.org.au/wp-content/uploads/2026/03/HBV_ViralHepReport_2024_final.pdf,Table A.14; printed page 78; PDF page 80,pdf_table_visually_checked,Modelled prevalence; administrative care and treatment supplemented with laboratory data; PHN and SA3 are not HHS boundaries.
S02,ASHM and Doherty Institute,Hepatitis C Mapping National Report 2024-25 revised,2026-07,2016 to 2025-05,https://ashm.org.au/wp-content/uploads/2026/07/HCV_ViralHepReport_2024-25-finalrevised.pdf,Monthly treatment table; printed page 27; PDF page 29,pdf_table_visually_checked,Rounded monthly averages; 2016 March-December and 2025 January-May; not annual totals or treatment coverage.
S03,Kirby Institute,Annual Surveillance Report 2025 - Hepatitis C,2025,2024,https://www.kirby.unsw.edu.au/sites/default/files/documents/Annual-Surveillance-Report-2025_HCV.pdf,Table 2; printed page 27; PDF page 29,pdf_table_visually_checked,Modelled care cascade; treatment denominator is start-of-year chronic population; diagnosis denominator is end-of-year population.
S04,AIHW,Prison health 2025 - infectious and communicable diseases,2026-08-27,2022-2023 and 2025,https://www.aihw.gov.au/reports/prisoners/health-of-people-in-australias-prisons-2025/contents/health-conditions/infectious-and-communicable-diseases,Table 3.1 and Figure 3.4 notes,html_table_and_notes_checked,AusHep laboratory prevalence is 2022-2023; 2025 discharge survey is self-reported and excludes Queensland for this item.
S05,AIHW,Cancer in First Nations people - overview,2026-07-14,2017-2021 and 2025 projections,https://www.aihw.gov.au/reports/cancer/cancer-data-in-australia/contents/first-nations-cancer-incidence-mortality-and-survi/cancer-in-first-nations-people-overview,Liver cancer section; Figures 9 and 10 and notes,html_narrative_and_notes_checked,All-cause primary liver cancer; not hepatitis-attributable; incidence and mortality for 2025 are projections; actual data through 2021 exclude SA and Tasmania.
S06,AIHW,Cancer incidence by country and region of birth - selected cancers,2026-07-14,2006-2020,https://www.aihw.gov.au/reports/cancer/cancer-data-in-australia/contents/cancer-incidence-by-country-of-birth/incidence-country-region-birth-selected-cancers,Liver cancer section; Table 7 and Figure 26 narrative,html_table_and_notes_checked,WHO World Standard Population; historical incidence among Australian residents by birthplace; not current HHS rates or causal hepatitis attribution.
S07,AIHW,Cancer data in Australia - data access,2026-07-14,variable,https://www.aihw.gov.au/reports/cancer/cancer-data-in-australia/data,Data and linked data-location guide,catalogue_reviewed_not_workbooks_downloaded,Full underlying XLSX files were not captured in this packet.
S08,AIHW,MyHospitals API documentation,,current documentation,https://www.aihw.gov.au/hospitals/other-resources/myhospitals-api,API URL; response format; OpenAPI definition,documentation_checked,Hospital activity and performance API; no hepatitis-specific prevalence endpoint verified.
S09,AIHW,MyHospitals OpenAPI specification,,version 1.0 specification,https://myhospitalsapi.aihw.gov.au/swagger/v1/swagger.json,Paths for measure-categories and reporting-unit-types,api_specification_read,Documentation reading is distinct from successful data endpoint execution.
S10,AIHW,MyHospitals measure category endpoint,,data_version 2026052802,https://myhospitalsapi.aihw.gov.au/api/v1/measure-categories,result and version_information,api_json_response_observed,"Metadata only; saved as semantic JSON reconstruction from web-tool response, not original HTTP bytes."
S11,AIHW,MyHospitals reporting unit type endpoint,,data_version 2026052802,https://myhospitalsapi.aihw.gov.au/api/v1/reporting-unit-types,result and version_information,api_json_response_observed,Response timestamp is 2026-09-09; cached web response; no new current-time freshness claim.
S12,ABS,Data API user guide,,documentation includes 2024-11-29 migration,https://www.abs.gov.au/statistics/application-programming-interfaces-apis/data-api-user-guide,System updates; base URL; formats; authentication,documentation_checked_no_population_response,New base https://data.api.abs.gov.au/rest/; API keys removed; no ABS population observations captured.
S13,Burnet Institute,Eliminate Hepatitis C Australia,,programme funding 2023-2027,https://www.burnet.edu.au/our-work/projects/eliminate-hepatitis-c-australia-ec-australia/,Partners; funding partners; project contacts,programme_page_checked,Cairns Sexual Health Service is publicly listed; current local participation and GO8554 bid status not confirmed.
S14,Hepatitis Australia,National strategies implementation planning,,draft plans current on review,https://www.hepatitisaustralia.com/national_strategies_implementation_plan,Implementation Action Plans; advisory groups,programme_page_checked,"Planning coordination, not an established GO8554 consortium or guaranteed project funding."
S15,Hepatitis Australia,HepLink Australia,,current service,https://www.hepatitisaustralia.com/heplink_australia,Service description and national collaboration,programme_page_checked,National information and navigation; not a substitute for locally available clinical care.
S16,Hepatitis Australia,National hepatitis C telehealth launch,2026-03-27,service announcement,https://www.hepatitisaustralia.com/100_000_australians_cured_of_hepatitis_c_australia_launches_national_telehealth_service_to_finish_elimination,National telehealth service announcement,programme_page_checked,National HCV telehealth within HepLink; no referral; local clinical arrangements and capacity require confirmation.
S17,ASHM / Beyond the C,Beyond the C general practice programme,,current advertised offer,https://www.beyondthec.com.au/,Register interest; eligibility; practice payments,programme_page_checked,Advertises six-month project and AUD4000 per completed practice; current intake and terms require confirmation; older background epidemiology not reused.
S18,Kirby Institute and Flinders University,National Australian Hepatitis C Point-of-Care Testing Program,,current programme page,https://hepcpoct.com.au/,Programme overview,programme_page_checked,Programme exists; no new-site allocation or GO8554 consortium membership confirmed.
S19,Kirby Institute and Flinders University,HCV point-of-care training and quality assurance,,current programme requirements,https://hepcpoct.com.au/about/key-program-components,Training; certification; quality assurance,programme_page_checked,Participation requires protocol and operator training plus ongoing QA; equipment alone is not programme delivery.
S20,National Prisons Hepatitis Network,HepPEd,,available for use on review,https://www.nphn.net.au/research-hepped,About HepPEd; contact,programme_page_checked,National whole-of-prison education and peer train-the-trainer; no local implementation assumed.
S21,National Prisons Hepatitis Network,AusHep,,first round 2022-2023; later round status unconfirmed,https://www.nphn.net.au/research-aushep,Overview; partners; coordinator contact,programme_page_checked,"Page contains inconsistent first-round date wording; AIHW provides 2022-2023 dates. Queensland state partners listed, not proof of any specific prison participation."
S22,National Prisons Hepatitis Network,Australian Prisons Pharmacy Surveillance,,programme page with historical rollout wording,https://www.nphn.net.au/research-apps,Quarterly pharmacy dispensing collection; contact,programme_page_checked,Programme description verified; live dashboard completeness and local pharmacy inclusion unverified.
S23,ASHM,Hepatitis B learning hub,,prescribing change from 2026-09-01,https://ashm.org.au/learning-hubs/hepatitis-b/,Advanced management and prescribing,programme_page_checked,"Workforce support route, not independent national community-delivery grant consortium."
S24,Burnet and Kirby Institutes,Australia progress towards HCV elimination 2025 - summary,2025,2024,https://www.burnet.edu.au/our-work/projects/eliminate-hepatitis-c-australia-ec-australia/hepatitis-c-in-australia-2025-statistics/,Treatment uptake; end-2024 population; elimination findings,html_narrative_checked,Treatment courses including retreatment must not be conflated with people receiving initial treatment.
S25,Queensland Health,BBV/STI quarterly report Q2 2026 - previous review URL,2026,2026-01 to 2026-06,https://www.health.qld.gov.au/__data/assets/pdf_file/0016/1514212/bbvsti_in_qld_quarterly_report_2026_q2.pdf,Previous source register; URL re-fetch,revalidation_failed,Web returned DisabledError in this update; do not label previous extracted figures newly verified.
